responder,question,option,rank
19,1,No protected work time for residency projects,3
19,1,No research ideas,1
19,1,Not interested in precepting projects,4
19,1,Intimidated by degree of involvement,2
19,1,Disagree with processes of research subcommittee,6
19,1,No perceived benefit for clinical ladder advancement,5
19,2,Schedule conflicts with other meetings,2
19,2,Patient care responsibilities,1
19,2,Topics are not interesting,4
19,2,Not interested in residency activities,5
19,2,No perceived benefit for my position or career ladder advancement,3
19,3,Merit-based salary increase,3
19,3,Travel reimbursement for educational conferences,1
19,3,Reimbursement for other educational expenditures,4
19,3,Decreased number of student rotations to offset time spent on residency activities,2
18,1,No protected work time for residency projects,1
18,1,No research ideas,3
18,1,Not interested in precepting projects,6
18,1,Intimidated by degree of involvement,2
18,1,Disagree with processes of research subcommittee,4
18,1,No perceived benefit for clinical ladder advancement,5
18,2,Schedule conflicts with other meetings,1
18,2,Patient care responsibilities,2
18,2,Topics are not interesting,3
18,2,Not interested in residency activities,5
18,2,No perceived benefit for my position or career ladder advancement,4
18,3,Merit-based salary increase,3
18,3,Travel reimbursement for educational conferences,2
18,3,Reimbursement for other educational expenditures,1
18,3,Decreased number of student rotations to offset time spent on residency activities,4
17,1,No protected work time for residency projects,3
17,1,No research ideas,6
17,1,Not interested in precepting projects,1
17,1,Intimidated by degree of involvement,2
17,1,Disagree with processes of research subcommittee,5
17,1,No perceived benefit for clinical ladder advancement,4
17,2,Schedule conflicts with other meetings,2
17,2,Patient care responsibilities,1
17,2,Topics are not interesting,4
17,2,Not interested in residency activities,5
17,2,No perceived benefit for my position or career ladder advancement,3
17,3,Merit-based salary increase,1
17,3,Travel reimbursement for educational conferences,4
17,3,Reimbursement for other educational expenditures,3
17,3,Decreased number of student rotations to offset time spent on residency activities,2
16,1,No protected work time for residency projects,1
16,1,No research ideas,3
16,1,Not interested in precepting projects,5
16,1,Intimidated by degree of involvement,2
16,1,Disagree with processes of research subcommittee,6
16,1,No perceived benefit for clinical ladder advancement,4
16,2,Schedule conflicts with other meetings,2
16,2,Patient care responsibilities,1
16,2,Topics are not interesting,4
16,2,Not interested in residency activities,5
16,2,No perceived benefit for my position or career ladder advancement,3
16,3,Merit-based salary increase,2
16,3,Travel reimbursement for educational conferences,4
16,3,Reimbursement for other educational expenditures,3
16,3,Decreased number of student rotations to offset time spent on residency activities,1
15,1,No protected work time for residency projects,1
15,1,No research ideas,2
15,1,Not interested in precepting projects,5
15,1,Intimidated by degree of involvement,3
15,1,Disagree with processes of research subcommittee,4
15,1,No perceived benefit for clinical ladder advancement,6
15,2,Schedule conflicts with other meetings,2
15,2,Patient care responsibilities,1
15,2,Topics are not interesting,3
15,2,Not interested in residency activities,4
15,2,No perceived benefit for my position or career ladder advancement,5
15,3,Merit-based salary increase,4
15,3,Travel reimbursement for educational conferences,1
15,3,Reimbursement for other educational expenditures,3
15,3,Decreased number of student rotations to offset time spent on residency activities,2
14,1,No protected work time for residency projects,1
14,1,No research ideas,5
14,1,Not interested in precepting projects,6
14,1,Intimidated by degree of involvement,2
14,1,Disagree with processes of research subcommittee,4
14,1,No perceived benefit for clinical ladder advancement,3
14,2,Schedule conflicts with other meetings,2
14,2,Patient care responsibilities,1
14,2,Topics are not interesting,4
14,2,Not interested in residency activities,5
14,2,No perceived benefit for my position or career ladder advancement,3
14,3,Merit-based salary increase,1
14,3,Travel reimbursement for educational conferences,3
14,3,Reimbursement for other educational expenditures,2
14,3,Decreased number of student rotations to offset time spent on residency activities,4
13,1,No protected work time for residency projects,1
13,1,No research ideas,2
13,1,Not interested in precepting projects,6
13,1,Intimidated by degree of involvement,4
13,1,Disagree with processes of research subcommittee,3
13,1,No perceived benefit for clinical ladder advancement,5
13,2,Schedule conflicts with other meetings,2
13,2,Patient care responsibilities,1
13,2,Topics are not interesting,3
13,2,Not interested in residency activities,5
13,2,No perceived benefit for my position or career ladder advancement,4
13,3,Merit-based salary increase,2
13,3,Travel reimbursement for educational conferences,1
13,3,Reimbursement for other educational expenditures,3
13,3,Decreased number of student rotations to offset time spent on residency activities,4
12,1,No protected work time for residency projects,2
12,1,No research ideas,3
12,1,Not interested in precepting projects,6
12,1,Intimidated by degree of involvement,5
12,1,Disagree with processes of research subcommittee,4
12,1,No perceived benefit for clinical ladder advancement,1
12,2,Schedule conflicts with other meetings,1
12,2,Patient care responsibilities,2
12,2,Topics are not interesting,3
12,2,Not interested in residency activities,5
12,2,No perceived benefit for my position or career ladder advancement,4
12,3,Merit-based salary increase,1
12,3,Travel reimbursement for educational conferences,2
12,3,Reimbursement for other educational expenditures,3
12,3,Decreased number of student rotations to offset time spent on residency activities,4
11,1,No protected work time for residency projects,2
11,1,No research ideas,4
11,1,Not interested in precepting projects,6
11,1,Intimidated by degree of involvement,1
11,1,Disagree with processes of research subcommittee,5
11,1,No perceived benefit for clinical ladder advancement,3
11,2,Schedule conflicts with other meetings,3
11,2,Patient care responsibilities,2
11,2,Topics are not interesting,4
11,2,Not interested in residency activities,5
11,2,No perceived benefit for my position or career ladder advancement,1
11,3,Merit-based salary increase,3
11,3,Travel reimbursement for educational conferences,2
11,3,Reimbursement for other educational expenditures,1
11,3,Decreased number of student rotations to offset time spent on residency activities,4
10,1,No protected work time for residency projects,4
10,1,No research ideas,6
10,1,Not interested in precepting projects,3
10,1,Intimidated by degree of involvement,5
10,1,Disagree with processes of research subcommittee,1
10,1,No perceived benefit for clinical ladder advancement,2
10,2,Schedule conflicts with other meetings,1
10,2,Patient care responsibilities,2
10,2,Topics are not interesting,3
10,2,Not interested in residency activities,5
10,2,No perceived benefit for my position or career ladder advancement,4
10,3,Merit-based salary increase,1
10,3,Travel reimbursement for educational conferences,2
10,3,Reimbursement for other educational expenditures,4
10,3,Decreased number of student rotations to offset time spent on residency activities,3
9,1,No protected work time for residency projects,2
9,1,No research ideas,5
9,1,Not interested in precepting projects,4
9,1,Intimidated by degree of involvement,6
9,1,Disagree with processes of research subcommittee,1
9,1,No perceived benefit for clinical ladder advancement,3
9,2,Schedule conflicts with other meetings,2
9,2,Patient care responsibilities,3
9,2,Topics are not interesting,1
9,2,Not interested in residency activities,5
9,2,No perceived benefit for my position or career ladder advancement,4
9,3,Merit-based salary increase,3
9,3,Travel reimbursement for educational conferences,1
9,3,Reimbursement for other educational expenditures,2
9,3,Decreased number of student rotations to offset time spent on residency activities,4
8,1,No protected work time for residency projects,2
8,1,No research ideas,1
8,1,Not interested in precepting projects,3
8,1,Intimidated by degree of involvement,4
8,1,Disagree with processes of research subcommittee,6
8,1,No perceived benefit for clinical ladder advancement,5
8,2,Schedule conflicts with other meetings,3
8,2,Patient care responsibilities,1
8,2,Topics are not interesting,2
8,2,Not interested in residency activities,5
8,2,No perceived benefit for my position or career ladder advancement,4
8,3,Merit-based salary increase,1
8,3,Travel reimbursement for educational conferences,3
8,3,Reimbursement for other educational expenditures,2
8,3,Decreased number of student rotations to offset time spent on residency activities,4
7,1,No protected work time for residency projects,2
7,1,No research ideas,1
7,1,Not interested in precepting projects,6
7,1,Intimidated by degree of involvement,4
7,1,Disagree with processes of research subcommittee,5
7,1,No perceived benefit for clinical ladder advancement,3
7,2,Schedule conflicts with other meetings,2
7,2,Patient care responsibilities,1
7,2,Topics are not interesting,3
7,2,Not interested in residency activities,5
7,2,No perceived benefit for my position or career ladder advancement,4
7,3,Merit-based salary increase,4
7,3,Travel reimbursement for educational conferences,1
7,3,Reimbursement for other educational expenditures,3
7,3,Decreased number of student rotations to offset time spent on residency activities,2
6,1,No protected work time for residency projects,1
6,1,No research ideas,3
6,1,Not interested in precepting projects,6
6,1,Intimidated by degree of involvement,2
6,1,Disagree with processes of research subcommittee,5
6,1,No perceived benefit for clinical ladder advancement,4
6,2,Schedule conflicts with other meetings,2
6,2,Patient care responsibilities,1
6,2,Topics are not interesting,3
6,2,Not interested in residency activities,5
6,2,No perceived benefit for my position or career ladder advancement,4
6,3,Merit-based salary increase,3
6,3,Travel reimbursement for educational conferences,2
6,3,Reimbursement for other educational expenditures,4
6,3,Decreased number of student rotations to offset time spent on residency activities,1
5,1,No protected work time for residency projects,3
5,1,No research ideas,6
5,1,Not interested in precepting projects,4
5,1,Intimidated by degree of involvement,5
5,1,Disagree with processes of research subcommittee,2
5,1,No perceived benefit for clinical ladder advancement,1
5,2,Schedule conflicts with other meetings,2
5,2,Patient care responsibilities,1
5,2,Topics are not interesting,4
5,2,Not interested in residency activities,5
5,2,No perceived benefit for my position or career ladder advancement,3
5,3,Merit-based salary increase,1
5,3,Travel reimbursement for educational conferences,4
5,3,Reimbursement for other educational expenditures,2
5,3,Decreased number of student rotations to offset time spent on residency activities,3
4,1,No protected work time for residency projects,2
4,1,No research ideas,1
4,1,Not interested in precepting projects,5
4,1,Intimidated by degree of involvement,4
4,1,Disagree with processes of research subcommittee,6
4,1,No perceived benefit for clinical ladder advancement,3
4,2,Schedule conflicts with other meetings,2
4,2,Patient care responsibilities,1
4,2,Topics are not interesting,3
4,2,Not interested in residency activities,5
4,2,No perceived benefit for my position or career ladder advancement,4
4,3,Merit-based salary increase,1
4,3,Travel reimbursement for educational conferences,2
4,3,Reimbursement for other educational expenditures,3
4,3,Decreased number of student rotations to offset time spent on residency activities,4
3,1,No protected work time for residency projects,2
3,1,No research ideas,1
3,1,Not interested in precepting projects,6
3,1,Intimidated by degree of involvement,3
3,1,Disagree with processes of research subcommittee,4
3,1,No perceived benefit for clinical ladder advancement,5
3,2,Schedule conflicts with other meetings,2
